,lat,lon,00:00Z 27-Apr-2024,00:00Z 28-Apr-2024,00:00Z 29-Apr-2024,00:00Z 30-Apr-2024,00:00Z 01-May-2024,00:00Z 02-May-2024,00:00Z 03-May-2024,00:00Z 04-May-2024,00:00Z 05-May-2024
104,4.007606,104.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
105,4.007606,104.76414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
106,4.007606,104.847275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,4.007606,104.930405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,4.007606,105.01354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,4.007606,105.09668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,4.007606,105.17982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,4.007606,105.262955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,4.007606,105.346085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,4.007606,105.42922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,4.007606,105.51236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,4.007606,105.5955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
116,4.007606,105.678635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,4.007606,105.761765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,4.007606,105.8449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,4.007606,105.92804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,4.090523,96.03485,1.42,2.05,1.42,1.38,0.43,0.0,0.11,0.99,0.0
121,4.090523,96.11799,2.26,0.44,1.68,2.74,0.8,0.0,0.1,1.33,0.0
122,4.090523,96.201126,5.27,1.46,2.07,2.3,1.03,0.0,0.27,0.91,0.0
123,4.090523,96.28426,9.22,1.66,0.97,3.51,2.08,0.0,4.21,0.0,0.0
124,4.090523,96.36739,12.24,5.88,0.55,3.47,1.38,3.39,2.33,1.03,0.0
125,4.090523,96.45053,8.55,6.41,5.22,5.31,9.08,2.84,0.0,0.38,0.01
126,4.090523,96.53367,9.27,23.19,11.08,6.52,15.05,1.63,0.07,0.74,6.12
127,4.090523,96.616806,25.74,13.54,13.08,9.1,17.81,6.28,7.08,12.9,5.14
128,4.090523,96.69994,16.4,17.35,3.82,1.31,11.53,0.29,55.14,15.71,6.32
129,4.090523,96.78308,21.65,10.38,41.23,4.79,22.91,5.22,89.67,8.02,13.12
130,4.090523,96.86621,9.5,2.23,1.64,5.43,9.45,0.66,35.03,5.68,7.09
131,4.090523,96.94935,4.78,4.24,2.4,7.85,42.39,0.89,10.75,6.3,8.57
132,4.090523,97.032486,3.96,11.01,3.1,6.03,16.58,5.53,18.67,12.45,17.28
133,4.090523,97.11562,3.79,3.82,1.57,6.47,4.73,17.68,12.89,8.77,12.73
134,4.090523,97.19876,8.34,12.27,0.34,7.95,5.64,7.07,11.33,16.13,7.75
135,4.090523,97.28189,13.86,7.05,0.54,15.87,13.84,0.05,49.13,7.14,16.12
136,4.090523,97.36503,0.91,8.36,0.19,21.33,6.1,1.79,2.91,54.72,22.58
137,4.090523,97.448166,0.8,0.32,0.02,13.15,10.41,0.98,7.03,5.96,33.69
138,4.090523,97.5313,8.39,2.91,0.85,19.9,5.36,5.82,47.85,7.66,67.89
139,4.090523,97.61444,5.41,1.67,0.52,10.34,4.75,7.99,34.67,28.47,28.83
140,4.090523,97.69757,0.63,5.98,0.01,18.78,3.06,34.08,55.87,5.5,16.13
141,4.090523,97.78071,3.04,2.48,0.0,26.15,5.27,8.77,32.22,5.24,9.13
142,4.090523,97.863846,3.87,1.74,0.0,16.16,0.09,0.01,42.58,15.56,2.02
143,4.090523,97.94698,4.79,3.93,0.0,32.93,0.0,0.0,58.99,3.41,0.71
144,4.090523,98.03012,4.19,0.0,0.0,9.34,0.0,0.0,80.39,0.29,2.88
145,4.090523,98.11325,5.55,0.0,0.0,10.69,0.0,0.0,111.93,0.11,7.85
146,4.090523,98.19639,10.97,0.0,0.0,31.8,0.0,0.0,62.78,1.35,16.2
147,4.090523,98.279526,0.32,0.0,0.0,22.25,0.0,0.04,26.04,5.21,1.69
148,4.090523,98.36266,0.0,0.0,0.0,8.38,0.0,0.5,18.8,3.87,0.06
149,4.090523,98.4458,0.0,0.0,0.0,0.3,0.0,0.99,61.67,3.81,0.69
150,4.090523,98.52893,0.15,0.0,0.0,0.03,0.0,0.23,59.89,3.69,0.51
151,4.090523,98.612076,0.64,0.0,0.0,0.0,0.0,17.06,45.86,1.55,3.9
152,4.090523,98.695206,1.7,0.0,0.0,0.15,0.42,0.6,11.29,3.95,4.33
153,4.090523,98.77834,1.56,0.0,0.0,0.8,3.63,6.17,15.12,8.08,2.61
154,4.090523,98.86148,2.16,0.0,0.0,1.36,3.27,3.41,15.75,4.21,2.52
155,4.090523,98.94461,1.58,0.0,0.0,6.71,11.09,14.9,37.44,10.53,5.85
156,4.090523,99.027756,0.45,0.0,0.0,11.26,7.26,0.36,31.93,10.67,6.38
157,4.090523,99.110886,1.14,0.0,0.0,1.78,15.51,0.03,36.52,11.43,5.7
158,4.090523,99.19402,0.07,0.0,0.0,11.9,14.37,5.77,22.85,7.91,6.63
159,4.090523,99.27716,0.0,0.0,0.0,44.26,10.08,0.3,93.55,5.53,14.6
160,4.090523,99.36029,0.0,0.0,0.0,8.22,19.16,2.68,129.66,13.37,30.49
161,4.090523,99.443436,0.62,0.0,0.0,13.12,17.89,35.78,117.67,20.57,38.48
162,4.090523,99.526566,1.13,0.0,0.0,1.55,11.98,10.39,88.21,15.4,27.98
163,4.090523,99.6097,0.93,0.0,0.0,12.78,17.65,7.23,17.59,8.29,30.34
164,4.090523,99.69284,0.0,0.0,0.0,16.53,13.15,1.71,12.58,12.54,23.2
165,4.090523,99.77597,0.0,0.0,0.0,1.59,8.86,5.84,30.44,16.62,18.13
166,4.090523,99.8591,0.0,0.0,0.0,2.04,15.26,3.07,42.89,14.11,13.91
167,4.090523,99.942245,0.18,0.0,0.0,12.96,14.63,2.91,10.89,13.08,11.07
168,4.090523,100.02538,0.12,0.32,0.0,7.31,5.05,17.95,25.28,6.08,20.96
169,4.090523,100.10852,0.0,0.47,0.0,6.7,1.89,4.54,11.42,38.05,9.61
170,4.090523,100.19165,0.0,0.29,0.0,9.28,2.96,1.47,27.79,19.86,10.7
171,4.090523,100.27478,0.26,0.17,0.0,3.04,5.31,2.61,3.07,46.42,12.14
172,4.090523,100.357925,0.3,0.0,0.0,0.57,1.83,1.65,1.81,49.17,10.34
173,4.090523,100.44106,0.0,0.07,0.0,0.25,3.18,0.53,1.31,46.43,9.3
174,4.090523,100.5242,0.0,0.04,0.04,0.24,0.37,0.0,1.83,12.34,6.69
175,4.090523,100.60733,0.0,0.15,1.1,0.0,0.54,0.07,1.66,4.31,5.99
