,lat,lon,00:00Z 03-Apr-2024,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024
103,4.007606,104.59786,0.02,0.01,0.04,0.0,0.0,0.0,0.0
104,4.007606,104.681,0.0,0.01,0.01,0.0,0.0,0.0,0.0
105,4.007606,104.76414,0.0,0.03,-0.02,0.0,0.0,0.0,0.0
106,4.007606,104.847275,0.0,0.0,0.01,0.0,0.0,0.0,0.0
107,4.007606,104.930405,0.0,0.0,0.02,0.01,0.0,0.0,0.01
108,4.007606,105.01354,0.0,0.01,0.02,0.0,0.0,0.0,0.0
109,4.007606,105.09668,0.04,0.01,-0.01,0.0,0.0,0.0,0.0
110,4.007606,105.17982,0.03,0.0,0.39,0.0,0.0,0.0,0.0
111,4.007606,105.262955,0.0,0.0,0.08,0.0,0.0,0.01,0.0
112,4.007606,105.346085,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
113,4.007606,105.42922,0.0,0.0,0.01,0.0,0.0,0.0,0.05
114,4.007606,105.51236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,4.007606,105.5955,0.01,0.01,-0.01,0.0,0.0,0.01,0.01
116,4.007606,105.678635,0.0,0.01,-0.0,0.0,0.0,0.02,0.0
117,4.007606,105.761765,0.0,0.0,-0.0,0.0,0.0,0.01,0.0
118,4.007606,105.8449,0.0,0.02,-0.02,0.0,0.0,0.0,0.0
119,4.007606,105.92804,0.0,0.0,0.01,0.0,0.0,0.0,0.02
120,4.090523,96.03485,0.01,0.0,0.76,0.06,68.68,0.0,0.85
121,4.090523,96.11799,0.0,0.01,0.45,0.0,18.83,0.19,2.01
122,4.090523,96.201126,0.0,0.01,2.38,0.0,0.91,0.0,1.51
123,4.090523,96.28426,5.31,0.01,-4.79,0.0,0.19,0.0,3.11
124,4.090523,96.36739,7.36,0.11,-8.64,2.04,2.72,0.64,3.69
125,4.090523,96.45053,4.93,0.22,16.48,3.53,3.01,0.89,3.9
126,4.090523,96.53367,8.45,10.83,7.69,1.65,2.56,1.69,5.07
127,4.090523,96.616806,25.51,41.81,-27.57,3.61,1.46,40.65,7.79
128,4.090523,96.69994,3.8,16.15,20.67,0.02,0.03,10.59,8.33
129,4.090523,96.78308,7.24,12.48,49.12,29.8,10.9,4.28,13.47
130,4.090523,96.86621,1.18,5.52,35.5,3.28,0.89,1.93,0.72
131,4.090523,96.94935,1.27,14.65,9.19,0.32,0.19,0.97,7.22
132,4.090523,97.032486,12.46,14.08,-18.56,4.93,6.29,11.43,13.06
133,4.090523,97.11562,25.81,6.55,-20.43,0.35,10.08,3.24,1.47
134,4.090523,97.19876,63.07,6.84,-78.63,0.59,0.46,0.05,1.71
135,4.090523,97.28189,18.53,2.94,37.85,0.9,0.13,0.22,2.26
136,4.090523,97.36503,19.22,15.74,-25.4,4.82,15.25,6.86,0.05
137,4.090523,97.448166,3.78,3.91,-6.73,0.52,0.34,1.07,0.05
138,4.090523,97.5313,10.69,32.68,-65.88,8.16,5.01,1.09,0.41
139,4.090523,97.61444,15.22,13.94,-6.87,1.71,22.56,6.5,4.49
140,4.090523,97.69757,11.33,43.73,13.06,13.32,25.2,9.83,0.02
141,4.090523,97.78071,23.34,51.59,32.88,23.25,34.83,45.56,0.23
142,4.090523,97.863846,40.1,50.03,-34.79,2.7,0.25,1.99,7.02
143,4.090523,97.94698,58.24,80.86,-93.76,11.79,11.65,0.06,13.56
144,4.090523,98.03012,31.26,93.97,-107.72,0.21,6.37,0.02,7.3
145,4.090523,98.11325,6.11,23.42,4.64,0.0,8.38,0.0,2.52
146,4.090523,98.19639,2.77,0.91,12.03,0.0,0.08,0.0,0.0
147,4.090523,98.279526,1.88,0.03,2.68,0.0,0.0,0.0,0.0
148,4.090523,98.36266,1.26,0.0,-0.3,0.01,0.0,0.0,0.0
149,4.090523,98.4458,1.25,0.79,-0.24,0.0,0.0,0.39,0.0
150,4.090523,98.52893,1.59,1.23,-1.31,0.14,0.79,0.09,0.21
151,4.090523,98.612076,2.29,3.41,-4.93,0.0,0.01,0.0,0.02
152,4.090523,98.695206,0.17,0.4,0.93,0.0,0.0,0.0,0.06
153,4.090523,98.77834,0.61,0.42,0.94,0.41,0.06,0.0,2.32
154,4.090523,98.86148,1.93,0.08,-0.23,0.01,0.0,0.03,0.12
155,4.090523,98.94461,8.14,0.39,3.32,0.0,0.14,0.03,2.16
156,4.090523,99.027756,9.91,1.06,9.69,6.93,0.54,5.82,0.12
157,4.090523,99.110886,57.2,8.72,-50.78,5.85,3.45,0.89,0.3
158,4.090523,99.19402,12.57,20.49,-28.35,31.84,0.36,2.35,3.7
159,4.090523,99.27716,19.53,15.57,-18.7,0.2,0.07,0.72,17.52
160,4.090523,99.36029,19.75,13.78,-10.5,0.52,0.06,0.0,24.05
161,4.090523,99.443436,15.78,12.48,-22.27,0.91,0.23,0.0,11.0
162,4.090523,99.526566,8.29,9.07,-2.22,5.67,0.12,0.23,10.37
163,4.090523,99.6097,1.23,5.59,4.08,0.81,0.07,0.01,7.75
164,4.090523,99.69284,0.51,3.62,24.79,0.21,0.05,4.61,5.05
165,4.090523,99.77597,21.28,3.79,-17.52,0.66,0.45,3.05,8.11
166,4.090523,99.8591,8.33,1.95,7.27,4.06,0.77,0.77,0.17
167,4.090523,99.942245,8.76,3.71,16.05,1.22,1.55,0.06,0.77
168,4.090523,100.02538,3.58,11.1,-9.01,1.3,2.78,2.02,1.89
169,4.090523,100.10852,0.48,2.72,8.49,0.09,11.44,0.09,7.97
170,4.090523,100.19165,2.5,4.49,2.77,0.15,3.71,0.75,6.21
171,4.090523,100.27478,1.2,2.92,9.85,0.47,0.32,0.94,5.63
172,4.090523,100.357925,1.76,10.34,73.04,0.93,0.13,0.34,4.13
173,4.090523,100.44106,0.75,0.94,8.45,13.75,0.01,0.52,9.53
174,4.090523,100.5242,0.36,1.61,3.39,0.66,0.0,0.01,12.91
175,4.090523,100.60733,0.0,0.72,2.59,0.0,0.0,0.0,6.02
176,4.090523,100.69046,0.14,0.13,1.81,0.0,0.0,0.0,1.81
177,4.090523,100.773605,8.68,3.37,-4.36,0.0,0.0,0.0,3.42
178,4.090523,100.85674,14.19,7.69,-3.71,0.0,0.27,0.0,4.68
179,4.090523,100.93988,3.33,33.69,22.76,0.0,0.0,0.0,21.57
180,4.090523,101.02302,2.97,43.41,-13.02,0.0,0.0,0.0,5.45
181,4.090523,101.10615,4.61,2.96,60.33,0.0,0.0,0.0,13.86
182,4.090523,101.189285,3.54,4.14,71.59,0.0,0.0,0.0,20.64
183,4.090523,101.27242,4.4,7.72,17.87,0.0,0.0,0.32,57.28
184,4.090523,101.35556,15.68,31.38,-24.92,0.2,0.0,9.56,34.0
185,4.090523,101.4387,8.22,5.91,69.07,0.58,0.0,4.01,13.94
186,4.090523,101.52183,22.49,13.43,52.99,0.08,0.0,0.0,31.1
187,4.090523,101.604965,11.69,9.86,12.7,0.0,0.0,0.0,2.42
188,4.090523,101.6881,9.04,0.17,12.16,0.0,0.0,0.0,0.0
189,4.090523,101.77124,0.01,0.0,22.22,0.0,0.0,0.0,0.0
190,4.090523,101.85438,1.43,0.0,11.63,0.0,0.0,0.58,0.0
191,4.090523,101.93751,0.03,0.0,6.05,0.0,0.0,4.19,0.0
192,4.090523,102.020645,5.65,0.0,17.44,0.0,0.0,15.27,0.0
193,4.090523,102.10378,3.46,0.0,-2.03,0.0,0.0,0.09,0.0
194,4.090523,102.18692,3.47,0.0,36.51,0.0,0.0,0.0,0.0
195,4.090523,102.27006,0.02,0.0,4.2,0.0,0.0,0.0,0.0
196,4.090523,102.35319,0.09,0.0,1.57,0.0,0.0,0.0,0.0
197,4.090523,102.436325,0.04,0.0,1.17,0.0,0.0,0.0,0.0
198,4.090523,102.51946,2.61,0.0,2.83,0.0,0.0,0.0,0.0
199,4.090523,102.6026,0.79,0.0,4.13,0.0,0.0,0.0,0.0
200,4.090523,102.68574,1.24,0.0,1.51,0.0,0.0,0.0,0.06
201,4.090523,102.76887,1.56,0.02,0.18,0.0,0.0,0.0,0.02
202,4.090523,102.852005,0.36,0.01,4.16,0.0,0.13,0.68,0.01
203,4.090523,102.93514,0.05,0.0,3.06,0.0,6.37,0.48,1.72
204,4.090523,103.01828,0.97,3.14,0.97,0.0,7.65,4.0,4.04
205,4.090523,103.10142,0.12,12.94,-8.86,0.0,0.0,0.0,7.47
206,4.090523,103.18455,0.07,46.75,-45.37,0.0,0.0,0.0,5.97
207,4.090523,103.267685,0.14,35.93,-5.72,0.2,0.05,0.05,5.06
208,4.090523,103.35082,0.23,13.58,1.33,0.38,0.01,0.22,0.3
209,4.090523,103.43396,0.35,0.5,-0.2,0.0,0.01,0.42,1.38
210,4.090523,103.5171,0.44,0.13,3.99,0.01,0.0,0.0,1.04
211,4.090523,103.60023,2.18,14.28,21.55,0.04,0.0,0.01,0.66
212,4.090523,103.683365,14.64,4.87,-8.02,0.0,0.0,0.18,0.09
213,4.090523,103.7665,23.99,5.3,-25.65,0.0,0.01,0.47,1.02
214,4.090523,103.84964,11.89,2.12,-11.23,0.01,0.03,0.14,3.63
215,4.090523,103.93278,11.25,0.01,-7.4,0.0,0.0,0.07,0.09
216,4.090523,104.01591,3.7,0.09,2.95,0.1,0.0,0.15,0.04
217,4.090523,104.099045,1.91,0.0,0.22,0.01,0.0,0.11,0.32
218,4.090523,104.18218,1.2,0.04,1.13,0.02,0.0,0.11,0.2
219,4.090523,104.26532,1.69,0.28,2.98,0.93,0.0,0.0,0.0
220,4.090523,104.34846,2.65,3.51,6.46,0.22,0.0,0.01,0.09
221,4.090523,104.43159,0.59,2.16,8.96,0.01,0.0,0.0,1.94
222,4.090523,104.514725,0.31,2.81,-0.68,0.0,0.0,0.0,2.41
223,4.090523,104.59786,0.96,3.17,-0.97,0.0,0.0,0.52,0.15
224,4.090523,104.681,0.09,4.97,-3.65,0.01,0.0,0.38,0.15
225,4.090523,104.76414,0.9,1.83,-1.77,0.0,0.0,0.01,0.0
226,4.090523,104.847275,0.18,0.02,0.69,0.01,0.0,0.0,0.04
227,4.090523,104.930405,0.25,0.45,0.99,0.66,0.0,0.57,0.96
228,4.090523,105.01354,0.06,0.62,2.34,0.17,0.0,0.22,0.24
229,4.090523,105.09668,1.53,0.53,0.72,0.0,0.0,0.11,0.26
230,4.090523,105.17982,0.98,0.02,0.38,0.14,0.0,0.75,0.38
231,4.090523,105.262955,0.18,0.0,1.42,0.13,0.05,1.39,0.15
232,4.090523,105.346085,0.31,0.13,-0.35,0.28,0.06,0.01,0.3
233,4.090523,105.42922,0.01,0.13,0.47,0.05,0.0,0.52,5.9
234,4.090523,105.51236,0.01,0.46,-0.06,0.2,0.0,0.02,2.01
235,4.090523,105.5955,0.38,0.87,-0.68,0.11,0.0,0.94,0.67
236,4.090523,105.678635,0.02,0.64,0.03,0.17,0.0,5.04,0.67
237,4.090523,105.761765,0.09,0.28,-0.16,0.36,0.0,1.01,0.91
238,4.090523,105.8449,0.0,1.35,-1.12,0.26,0.0,0.67,0.6
239,4.090523,105.92804,0.0,0.09,0.72,0.31,0.0,0.23,3.54
240,4.173439,96.03485,3.38,2.53,-4.17,0.03,12.75,0.12,0.0
241,4.173439,96.11799,4.22,0.25,6.52,0.0,30.68,0.49,1.63
242,4.173439,96.201126,0.0,0.2,1.82,0.0,1.8,0.0,1.7
243,4.173439,96.28426,3.05,0.37,1.45,0.0,0.0,0.02,1.29
244,4.173439,96.36739,9.79,1.04,-5.19,0.0,5.85,4.51,1.39
245,4.173439,96.45053,4.72,12.78,4.2,4.17,8.24,6.92,15.23
246,4.173439,96.53367,11.91,16.03,29.92,6.85,16.32,1.51,19.39
247,4.173439,96.616806,65.82,22.11,14.53,14.04,10.48,1.59,7.54
248,4.173439,96.69994,36.41,71.49,-45.44,16.85,18.37,0.24,25.14
249,4.173439,96.78308,11.79,22.74,56.51,4.17,2.98,2.01,8.62
250,4.173439,96.86621,13.95,20.39,-1.26,0.22,2.2,12.74,7.62
251,4.173439,96.94935,11.99,30.52,-39.49,0.46,3.42,3.95,3.6
252,4.173439,97.032486,46.31,84.69,-76.44,5.43,4.5,1.09,22.52
253,4.173439,97.11562,43.06,59.09,-39.97,4.86,1.3,16.91,0.06
254,4.173439,97.19876,53.19,123.9,-43.41,5.39,5.73,3.25,2.08
255,4.173439,97.28189,87.16,54.65,46.26,17.13,1.98,0.28,0.85
256,4.173439,97.36503,34.63,43.23,55.35,12.5,1.23,17.08,2.38
257,4.173439,97.448166,24.6,17.93,43.61,11.48,0.02,0.89,2.74
258,4.173439,97.5313,48.89,21.19,-2.2,5.64,1.49,0.83,0.1
259,4.173439,97.61444,54.11,63.52,-45.61,9.21,0.36,2.29,0.03
260,4.173439,97.69757,82.81,103.95,-128.69,54.22,22.64,0.82,0.01
261,4.173439,97.78071,28.94,31.46,-24.16,24.85,0.05,22.76,4.81
262,4.173439,97.863846,3.73,22.57,101.86,6.77,0.02,8.67,13.59
263,4.173439,97.94698,6.6,8.92,8.49,4.62,7.55,0.08,0.44
264,4.173439,98.03012,1.85,16.67,-11.93,0.04,4.82,0.0,0.0
265,4.173439,98.11325,2.17,3.02,-3.92,0.0,0.0,0.0,2.79
266,4.173439,98.19639,0.0,0.0,2.08,0.0,0.0,0.0,0.0
267,4.173439,98.279526,0.0,0.02,0.48,0.0,0.0,0.0,0.0
268,4.173439,98.36266,0.8,0.87,0.27,0.0,0.0,0.02,0.0
269,4.173439,98.4458,1.38,0.0,-0.53,0.0,0.01,0.08,0.0
270,4.173439,98.52893,0.18,0.03,-0.14,0.0,0.07,0.0,0.0
