,lat,lon,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024
227,4.090523,104.930405,0.3,0.01,3.44,0.0,0.16,0.0
228,4.090523,105.01354,0.19,0.01,0.35,0.05,0.74,0.0
229,4.090523,105.09668,0.8,0.0,1.17,0.02,0.19,0.11
230,4.090523,105.17982,0.02,0.01,0.08,0.02,0.16,0.55
231,4.090523,105.262955,0.02,0.01,0.13,0.0,0.0,1.08
232,4.090523,105.346085,0.4,0.0,0.02,0.01,2.93,0.53
233,4.090523,105.42922,1.21,0.01,0.26,0.0,1.74,0.34
234,4.090523,105.51236,1.83,0.0,0.01,0.04,2.5,0.76
235,4.090523,105.5955,2.53,0.01,0.07,0.29,2.96,0.58
236,4.090523,105.678635,7.45,0.01,0.06,0.36,9.75,2.1
237,4.090523,105.761765,6.88,0.01,0.25,1.68,8.47,1.65
238,4.090523,105.8449,0.57,0.01,0.31,0.06,5.69,1.3
239,4.090523,105.92804,1.11,0.1,0.0,0.02,3.3,0.91
240,4.173439,96.03485,0.0,0.0,0.01,0.0,0.0,0.36
241,4.173439,96.11799,0.05,0.01,0.03,0.0,2.33,0.33
242,4.173439,96.201126,0.52,4.71,0.02,0.71,0.15,0.78
243,4.173439,96.28426,5.44,2.13,0.0,2.66,1.33,0.05
244,4.173439,96.36739,7.39,6.84,0.15,4.4,11.39,0.09
245,4.173439,96.45053,16.52,39.3,0.82,15.95,35.03,5.21
246,4.173439,96.53367,12.1,12.53,1.61,10.93,6.85,37.24
247,4.173439,96.616806,28.4,16.82,8.25,39.31,13.87,54.47
248,4.173439,96.69994,14.89,48.53,4.44,59.28,44.48,42.82
249,4.173439,96.78308,37.55,19.21,2.58,18.62,30.06,45.89
250,4.173439,96.86621,44.04,9.86,2.12,13.15,7.51,6.19
251,4.173439,96.94935,13.59,10.69,1.24,9.66,5.97,6.59
252,4.173439,97.032486,64.13,11.87,4.02,45.85,3.01,24.62
253,4.173439,97.11562,17.51,8.19,16.22,5.13,3.32,35.23
