,lat,lon,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024
101,4.007606,104.43159,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.51
102,4.007606,104.514725,0.01,0.0,0.0,0.0,0.0,0.01,0.02,0.25
103,4.007606,104.59786,0.53,0.06,0.08,0.0,0.0,0.0,0.16,0.06
104,4.007606,104.681,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.06
105,4.007606,104.76414,0.19,0.0,0.01,0.0,0.01,0.02,0.0,0.0
106,4.007606,104.847275,0.02,0.0,0.0,0.0,0.04,0.0,0.01,0.01
107,4.007606,104.930405,0.02,0.02,0.0,0.0,0.27,0.01,0.0,0.03
108,4.007606,105.01354,0.0,0.0,0.0,0.0,0.02,0.24,0.0,0.01
109,4.007606,105.09668,0.0,0.0,0.0,0.0,0.06,0.19,0.0,0.01
110,4.007606,105.17982,0.09,0.0,0.19,0.0,0.01,0.2,0.02,0.0
111,4.007606,105.262955,0.15,0.0,0.01,0.0,0.0,0.04,0.0,0.0
112,4.007606,105.346085,0.01,0.0,0.0,0.0,0.0,0.0,0.25,0.0
113,4.007606,105.42922,0.02,0.0,0.01,0.0,0.0,0.0,0.01,0.0
114,4.007606,105.51236,0.01,0.0,0.0,0.0,0.0,0.0,0.18,0.0
115,4.007606,105.5955,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0
116,4.007606,105.678635,0.01,0.0,0.03,0.0,0.0,0.0,0.6,0.02
117,4.007606,105.761765,0.01,0.13,0.03,0.0,0.0,0.0,0.13,0.03
118,4.007606,105.8449,0.02,0.15,0.0,0.0,0.0,0.0,1.69,0.04
119,4.007606,105.92804,0.06,0.02,0.0,0.0,0.0,0.0,7.85,0.01
120,4.090523,96.03485,0.06,1.94,0.0,0.0,1.15,1.52,0.0,0.74
121,4.090523,96.11799,2.5,0.15,0.0,0.0,2.24,2.27,2.21,0.0
122,4.090523,96.201126,1.76,0.0,0.0,0.0,12.0,0.71,3.5,0.0
123,4.090523,96.28426,1.62,0.0,0.0,0.0,8.1,1.91,1.08,0.11
124,4.090523,96.36739,1.52,2.99,0.01,0.01,21.72,1.19,10.16,1.05
125,4.090523,96.45053,0.73,4.44,0.1,7.8,3.76,14.44,17.27,0.07
126,4.090523,96.53367,12.35,6.95,9.29,13.31,13.48,28.49,9.54,11.85
127,4.090523,96.616806,35.62,2.4,5.81,1.9,91.36,9.89,3.6,37.97
128,4.090523,96.69994,11.05,21.69,12.52,18.59,6.51,34.75,36.77,53.5
129,4.090523,96.78308,25.24,17.53,19.32,11.43,59.17,38.26,15.07,20.64
130,4.090523,96.86621,46.78,2.73,13.18,0.54,3.48,10.21,14.66,5.69
131,4.090523,96.94935,19.41,3.27,0.38,0.04,28.18,61.9,1.36,3.91
132,4.090523,97.032486,2.75,0.12,0.23,0.53,17.14,24.59,12.75,9.03
133,4.090523,97.11562,7.18,0.0,0.18,0.41,7.01,4.35,8.32,3.24
134,4.090523,97.19876,10.13,0.34,0.48,0.81,10.74,2.16,4.96,17.03
135,4.090523,97.28189,12.56,6.42,0.09,7.35,0.74,5.52,4.8,3.36
136,4.090523,97.36503,39.12,0.09,0.42,0.98,0.19,0.34,0.02,0.11
137,4.090523,97.448166,10.41,0.28,0.9,0.09,1.11,0.47,1.28,0.0
138,4.090523,97.5313,42.85,8.67,2.43,0.21,2.91,1.72,7.36,1.47
139,4.090523,97.61444,121.11,19.0,0.91,0.02,2.87,2.38,77.84,4.55
140,4.090523,97.69757,51.62,27.1,31.64,4.35,12.21,1.11,81.05,0.03
141,4.090523,97.78071,14.69,35.98,1.95,10.85,15.46,0.31,2.48,0.0
142,4.090523,97.863846,65.79,10.78,1.01,0.78,14.16,0.02,10.63,0.0
143,4.090523,97.94698,17.97,24.73,3.79,0.36,8.15,1.43,3.12,0.0
144,4.090523,98.03012,15.15,0.24,0.01,0.21,0.37,0.0,4.31,0.0
145,4.090523,98.11325,1.76,0.0,0.0,2.22,0.71,0.0,0.0,0.0
146,4.090523,98.19639,0.0,1.33,0.0,0.01,0.02,0.0,0.0,0.0
147,4.090523,98.279526,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0
148,4.090523,98.36266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,4.090523,98.4458,0.19,0.03,0.0,0.0,0.36,0.0,0.06,0.0
150,4.090523,98.52893,0.01,0.34,0.0,0.0,3.53,0.0,0.02,0.0
151,4.090523,98.612076,0.04,0.67,0.0,0.0,0.24,0.0,0.07,0.0
152,4.090523,98.695206,0.11,0.46,0.0,0.04,0.08,0.0,0.0,0.0
153,4.090523,98.77834,0.01,0.13,5.07,0.36,0.09,0.0,0.39,0.12
154,4.090523,98.86148,0.0,0.24,1.81,16.92,0.08,0.0,6.73,0.01
155,4.090523,98.94461,0.0,0.88,25.85,1.86,1.94,0.05,13.46,2.01
156,4.090523,99.027756,0.0,0.88,2.52,6.57,1.26,0.12,14.39,8.82
157,4.090523,99.110886,0.96,7.41,0.0,0.56,1.14,1.38,11.6,15.15
158,4.090523,99.19402,0.87,3.19,0.04,1.67,1.66,0.09,11.73,1.56
159,4.090523,99.27716,1.44,0.51,0.0,0.85,0.51,5.18,23.04,0.2
160,4.090523,99.36029,3.6,0.54,0.0,2.48,0.2,0.73,43.49,0.11
161,4.090523,99.443436,8.02,0.56,0.0,3.75,5.45,0.35,0.76,0.0
162,4.090523,99.526566,2.17,0.04,0.43,5.24,8.02,4.95,1.03,0.08
163,4.090523,99.6097,7.14,7.1,0.01,15.16,0.54,0.68,1.46,3.78
164,4.090523,99.69284,18.52,0.21,0.12,20.17,0.01,0.84,0.03,0.05
165,4.090523,99.77597,40.16,0.13,0.17,2.38,0.16,3.4,0.0,0.16
166,4.090523,99.8591,33.08,0.12,0.76,1.53,0.11,1.62,0.2,0.47
167,4.090523,99.942245,6.9,1.82,5.13,0.0,0.0,1.15,0.0,0.12
168,4.090523,100.02538,3.53,0.13,0.05,0.28,0.41,3.19,0.02,0.2
169,4.090523,100.10852,2.24,0.05,0.06,0.77,0.19,0.45,0.0,0.28
170,4.090523,100.19165,1.98,0.01,0.0,0.51,0.0,6.0,0.03,0.34
171,4.090523,100.27478,3.4,0.16,0.69,0.01,0.0,0.47,1.17,0.0
172,4.090523,100.357925,1.06,0.4,7.24,0.52,0.0,0.34,0.64,0.0
173,4.090523,100.44106,0.73,5.93,9.11,0.83,0.0,0.02,0.02,0.0
174,4.090523,100.5242,1.02,0.2,0.09,0.15,0.0,0.0,0.0,3.58
175,4.090523,100.60733,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,4.090523,100.69046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
177,4.090523,100.773605,1.52,0.0,0.0,0.0,0.0,0.0,0.0,7.85
178,4.090523,100.85674,9.74,0.01,0.0,0.0,0.0,0.59,0.0,4.63
179,4.090523,100.93988,5.99,0.0,0.0,0.0,0.0,9.27,4.15,6.49
180,4.090523,101.02302,6.84,0.0,0.0,0.0,0.0,51.86,5.46,21.07
181,4.090523,101.10615,5.6,0.0,0.0,0.0,0.0,31.56,33.85,27.77
182,4.090523,101.189285,87.17,0.03,0.0,0.0,0.0,20.34,4.71,10.97
183,4.090523,101.27242,47.81,0.12,0.01,0.0,0.0,16.78,0.05,8.83
