,lat,lon,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024,00:00Z 12-Apr-2024,00:00Z 13-Apr-2024,00:00Z 14-Apr-2024
122,4.090523,96.201126,2.48,0.35,0.0,0.0,6.58,0.93,0.47,0.0,0.1,0.66
123,4.090523,96.28426,3.85,0.21,0.0,3.71,16.75,3.99,5.18,0.17,0.1,3.51
124,4.090523,96.36739,9.65,3.31,3.86,2.37,46.1,11.85,6.18,3.06,0.19,5.97
125,4.090523,96.45053,13.48,5.17,2.31,2.62,26.55,11.37,22.63,20.81,3.71,7.76
126,4.090523,96.53367,5.02,14.41,2.34,19.31,23.93,15.98,18.26,13.04,24.08,14.41
127,4.090523,96.616806,18.72,11.35,25.52,50.94,33.06,10.59,20.56,76.57,11.61,34.37
128,4.090523,96.69994,20.97,8.05,19.78,37.99,53.8,8.89,21.19,37.01,0.61,24.23
129,4.090523,96.78308,14.7,11.46,6.53,52.22,39.52,1.41,15.43,25.88,3.67,15.47
130,4.090523,96.86621,2.73,21.58,2.01,68.56,36.36,1.49,8.54,28.93,2.64,2.14
131,4.090523,96.94935,6.9,9.35,1.05,29.52,21.35,5.75,11.03,42.36,0.18,22.99
132,4.090523,97.032486,7.52,2.59,1.04,28.62,40.81,23.02,6.01,23.44,9.45,20.33
133,4.090523,97.11562,20.35,0.13,0.11,24.63,18.88,5.46,6.04,2.03,1.5,41.34
134,4.090523,97.19876,0.6,0.51,0.0,12.74,2.39,9.62,2.02,1.76,0.06,24.19
135,4.090523,97.28189,0.32,0.34,0.11,9.09,22.67,9.5,0.02,2.24,0.05,21.09
136,4.090523,97.36503,0.22,0.04,0.0,7.46,19.93,3.91,0.01,0.2,0.37,66.33
137,4.090523,97.448166,0.01,0.37,0.04,0.53,0.54,2.09,0.78,0.11,0.04,37.47
138,4.090523,97.5313,0.04,9.04,3.07,12.86,12.45,0.6,3.57,3.97,0.18,30.61
139,4.090523,97.61444,1.45,5.5,2.88,20.31,33.54,0.11,1.68,23.9,0.37,18.92
140,4.090523,97.69757,0.04,37.3,1.72,2.37,22.78,0.01,0.0,34.99,7.65,26.09
141,4.090523,97.78071,0.01,1.78,18.53,6.43,5.44,0.23,0.0,0.78,50.48,38.92
142,4.090523,97.863846,0.0,0.36,20.21,30.16,8.16,0.0,0.0,1.39,17.84,9.79
143,4.090523,97.94698,0.0,0.32,0.38,17.71,19.02,0.0,0.0,0.01,0.53,16.0
144,4.090523,98.03012,0.02,0.05,6.86,7.04,45.38,0.0,0.0,0.07,0.24,9.0
145,4.090523,98.11325,0.0,0.0,1.34,13.36,40.59,0.0,0.0,0.0,0.02,11.22
146,4.090523,98.19639,0.0,0.0,6.32,0.06,6.81,0.0,0.0,0.0,0.0,0.09
147,4.090523,98.279526,0.0,0.0,29.55,0.0,0.37,0.0,0.0,0.0,0.03,0.0
148,4.090523,98.36266,0.0,0.06,1.51,0.0,0.0,0.11,0.0,0.2,1.46,0.02
149,4.090523,98.4458,0.0,0.16,0.0,0.77,0.0,0.37,0.0,0.05,2.04,0.06
150,4.090523,98.52893,0.0,0.19,0.0,6.3,0.0,1.48,0.0,0.62,9.39,0.04
151,4.090523,98.612076,0.01,0.13,0.0,0.55,0.11,3.89,0.0,7.39,0.22,0.08
152,4.090523,98.695206,0.12,0.01,0.0,0.08,1.64,2.77,0.0,2.34,0.23,0.58
153,4.090523,98.77834,0.0,0.18,0.0,4.62,3.0,1.45,0.0,7.16,0.05,0.01
154,4.090523,98.86148,0.0,0.14,1.85,5.89,16.42,0.9,0.0,0.35,0.51,1.61
155,4.090523,98.94461,0.0,0.0,0.01,0.44,3.34,0.18,0.0,0.63,0.17,0.05
156,4.090523,99.027756,0.0,0.1,0.0,0.54,8.82,0.66,0.0,0.2,0.03,0.02
157,4.090523,99.110886,0.0,30.86,0.21,4.35,7.2,0.18,0.0,0.23,0.04,9.13
158,4.090523,99.19402,0.0,23.46,0.63,0.33,5.59,3.26,0.0,0.98,0.26,0.92
159,4.090523,99.27716,0.0,8.78,1.34,0.89,21.75,3.78,0.0,0.13,0.88,0.65
