,lat,lon,00:00Z 31-Mar-2024,00:00Z 01-Apr-2024,00:00Z 02-Apr-2024,00:00Z 03-Apr-2024,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024
191,4.090523,101.93751,0.0,20.39,0.32,0.0,1.04,0.0,0.0,0.0,0.0
192,4.090523,102.020645,0.0,2.69,5.13,0.0,3.16,0.0,0.0,0.0,0.0
193,4.090523,102.10378,0.01,0.72,4.71,2.41,2.34,0.0,0.0,0.0,0.01
194,4.090523,102.18692,0.02,0.45,3.08,13.37,2.31,0.0,0.0,0.0,0.0
195,4.090523,102.27006,0.04,0.0,8.01,0.03,3.83,0.0,0.0,0.0,0.0
196,4.090523,102.35319,0.02,0.0,22.98,3.59,12.64,0.0,0.0,0.0,0.0
197,4.090523,102.436325,0.01,1.14,16.62,28.88,35.71,0.0,0.0,0.0,0.0
198,4.090523,102.51946,0.27,0.0,3.82,63.14,45.32,0.0,0.0,0.0,0.0
199,4.090523,102.6026,4.69,0.0,0.0,22.35,1.07,0.0,0.0,0.0,0.0
200,4.090523,102.68574,1.19,0.05,1.13,8.12,0.03,0.0,0.0,0.0,0.0
201,4.090523,102.76887,2.26,0.7,1.07,0.04,1.08,0.01,0.03,0.01,0.0
202,4.090523,102.852005,6.54,1.95,0.32,0.0,1.06,0.12,0.34,0.04,0.0
203,4.090523,102.93514,1.83,0.0,0.01,0.09,10.89,4.64,0.37,0.01,0.0
204,4.090523,103.01828,1.6,0.0,0.85,0.99,54.06,0.82,0.45,0.0,0.0
205,4.090523,103.10142,0.89,0.0,3.17,0.0,6.56,0.51,0.31,0.14,0.11
206,4.090523,103.18455,6.97,0.04,0.74,0.0,0.03,0.0,0.66,0.03,0.0
207,4.090523,103.267685,1.12,0.05,0.13,0.0,0.0,0.01,0.18,0.31,0.03
208,4.090523,103.35082,0.0,0.03,0.36,0.0,0.02,0.24,0.44,0.56,0.01
209,4.090523,103.43396,0.07,0.0,0.0,0.01,0.0,0.0,0.22,0.18,0.01
210,4.090523,103.5171,0.06,0.0,0.0,0.0,1.05,0.08,0.02,0.24,0.2
211,4.090523,103.60023,1.4,0.0,0.0,0.0,0.54,0.2,0.02,0.15,0.23
212,4.090523,103.683365,1.87,0.0,0.06,0.0,1.17,0.0,0.0,0.0,0.02
213,4.090523,103.7665,0.81,0.0,0.0,0.0,0.01,0.2,0.11,0.14,0.02
214,4.090523,103.84964,6.44,0.0,0.0,0.0,0.0,0.0,0.02,0.46,0.2
215,4.090523,103.93278,1.75,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.47
216,4.090523,104.01591,0.16,0.0,0.06,0.0,0.0,0.0,0.02,0.0,0.0
217,4.090523,104.099045,0.18,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
218,4.090523,104.18218,0.11,0.0,0.0,0.0,3.78,0.01,0.0,0.0,0.0
219,4.090523,104.26532,0.12,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
220,4.090523,104.34846,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0
221,4.090523,104.43159,0.0,0.0,0.0,0.04,0.05,0.01,0.0,0.0,0.0
222,4.090523,104.514725,0.0,0.0,0.0,0.0,0.17,0.07,0.03,0.01,0.0
223,4.090523,104.59786,0.06,0.0,0.0,0.01,1.14,0.09,0.17,0.0,0.0
224,4.090523,104.681,0.0,0.0,0.03,1.45,0.74,10.23,0.11,0.0,0.0
225,4.090523,104.76414,0.01,0.0,0.01,0.02,0.71,8.33,0.0,0.0,0.0
226,4.090523,104.847275,0.0,0.0,0.0,0.0,0.11,4.37,0.05,0.0,0.0
227,4.090523,104.930405,0.0,0.0,0.0,0.0,0.3,0.03,0.02,0.0,0.0
228,4.090523,105.01354,0.0,0.0,0.0,0.0,0.7,0.03,0.09,0.0,0.0
229,4.090523,105.09668,0.0,0.0,0.0,0.74,2.48,0.6,0.06,0.0,0.0
230,4.090523,105.17982,0.0,0.33,0.0,10.84,1.48,18.44,0.02,0.0,0.0
231,4.090523,105.262955,0.04,1.45,0.0,0.96,0.01,24.55,0.0,0.0,0.0
232,4.090523,105.346085,0.1,0.18,0.0,0.47,0.19,89.62,0.01,0.0,0.0
233,4.090523,105.42922,0.0,0.0,0.0,0.05,1.35,46.62,0.02,0.0,0.18
234,4.090523,105.51236,0.15,0.0,0.0,0.0,4.8,20.91,0.0,0.0,1.67
235,4.090523,105.5955,0.05,0.0,0.0,0.0,2.46,0.56,0.0,0.0,1.22
